pulses;x;y;z
236;-0.199234;0.910126;-0.426834
237;-0.156586;0.973129;-0.456589
238;-0.204285;0.931488;-0.426239
239;-0.111328;0.918045;-0.431519
240;-0.007614;0.921402;-0.379471
241;0.025208;0.945831;-0.395370
242;-0.027328;0.902374;-0.385773
243;-0.096283;0.967117;-0.390244
244;-0.174271;0.938431;-0.409912
245;-0.237106;0.960846;-0.437454
246;-0.204910;0.898056;-0.378693
247;-0.126343;0.952881;-0.199280
248;-0.024796;0.897003;-0.270676
249;0.033508;1.147110;-0.450333
250;-0.122574;1.125336;-0.520187
251;-0.060730;0.985992;-0.535233
252;0.044128;0.989105;-0.581604
253;0.117584;1.077545;-0.651855
254;0.183365;0.937912;-0.674271
255;0.032013;0.778992;-0.517044
256;0.072968;0.728546;-0.341248
257;0.105103;0.883301;-0.286118
258;-0.006851;1.001984;-0.209305
259;-0.138046;1.065140;-0.208618
260;-0.212845;1.032623;-0.277740
261;-0.247009;0.970520;-0.295502
262;-0.313034;0.950119;-0.251526
263;-0.335159;0.990616;-0.276108
264;-0.288376;1.032562;-0.353195
265;-0.244888;0.979523;-0.386200
266;-0.175323;0.925583;-0.422958
267;-0.124161;0.893753;-0.458496
268;-0.109879;0.876022;-0.456650
269;-0.078339;0.871231;-0.473267
270;-0.067719;0.865128;-0.503860
271;-0.059082;0.872360;-0.503967
272;-0.024002;0.867844;-0.549789
273;-0.029846;0.851242;-0.603180
274;-0.075912;0.860306;-0.627411
275;-0.156128;0.921265;-0.704376
276;-0.208221;0.936417;-0.702866
277;-0.226349;0.877747;-0.629959
278;-0.184830;0.815231;-0.628952
279;-0.191376;0.770676;-0.597382
280;-0.182022;0.715897;-0.575226
281;-0.173843;0.778824;-0.651154
282;-0.250473;0.760574;-0.656982
283;-0.257294;0.746414;-0.659943
284;-0.234482;0.739182;-0.661392
285;-0.209457;0.751968;-0.695572
286;-0.222977;0.803635;-0.719986
287;-0.207016;0.868073;-0.735855
288;-0.163651;0.877945;-0.670013
289;-0.129639;0.813324;-0.613281
290;-0.084900;0.781952;-0.694992
291;-0.075455;0.789948;-0.751801
292;-0.080627;0.719635;-0.718872
293;-0.079636;0.682465;-0.738998
294;-0.165222;0.736664;-0.818527
295;-0.206879;0.685989;-0.730942
296;-0.188248;0.635910;-0.657059
297;-0.203552;0.692184;-0.676941
298;-0.228134;0.737610;-0.685898
299;-0.242920;0.699677;-0.685791
300;-0.144669;0.693985;-0.721985
301;-0.050720;0.716171;-0.761108
302;-0.159271;0.626846;-0.752075
303;-0.285767;0.539978;-0.782333
304;-0.253799;0.516220;-0.770020
305;-0.175766;0.568359;-0.813812
306;-0.203766;0.623993;-0.890579
307;-0.229126;0.724365;-0.884644
308;-0.077133;0.678833;-0.866150
309;0.024307;0.687057;-0.878586
310;0.091751;0.660126;-0.851852
311;0.195786;0.555756;-0.819427
312;0.156418;0.434265;-0.764954
313;0.086090;0.381836;-0.731216
314;0.047867;0.401596;-0.702423
315;-0.055862;0.428833;-0.644989
316;-0.114700;0.511444;-0.625153
317;-0.135895;0.599060;-0.686218
318;-0.170502;0.639114;-0.685730
319;-0.136612;0.582321;-0.713150
320;-0.141052;0.568130;-0.742035
321;-0.215744;0.610886;-0.744736
322;-0.271133;0.551834;-0.701447
323;-0.272034;0.492889;-0.654144
324;-0.286102;0.437775;-0.632935
325;-0.285843;0.414368;-0.564011
326;-0.274323;0.408600;-0.582077
327;-0.203140;0.399277;-0.540451
328;-0.176620;0.396271;-0.590057
329;-0.125534;0.411972;-0.597137
330;-0.092865;0.445786;-0.657654
331;-0.138046;0.460373;-0.631897
332;-0.194504;0.435593;-0.615265
333;-0.145187;0.437210;-0.550598
334;-0.115051;0.504333;-0.712875
335;-0.095200;0.599976;-0.768417
336;-0.068268;0.653000;-0.784241
337;-0.121094;0.651947;-0.752991
338;-0.147583;0.645508;-0.664398
339;-0.182556;0.696182;-0.679932
340;-0.142761;0.735062;-0.680359
341;-0.123611;0.741302;-0.691177
342;-0.136703;0.766159;-0.728836
343;-0.259781;0.785034;-0.683304
344;-0.246704;0.789566;-0.519455
345;-0.171768;0.848679;-0.622253
346;-0.161591;0.827591;-0.644669
347;-0.141647;0.851364;-0.642578
348;-0.083694;0.898514;-0.617050
349;-0.095856;0.911179;-0.677887
350;-0.115707;0.926712;-0.594940
351;-0.292877;1.005646;-0.533737
352;-0.329391;1.111237;-0.592651
353;-0.229355;1.087402;-0.656845
354;-0.129349;1.086212;-0.554581
355;-0.127319;1.135864;-0.590836
356;-0.232574;0.985367;-0.516602
357;-0.214203;0.805893;-0.377518
358;-0.050705;0.842072;-0.455322
359;-0.052704;0.891373;-0.459564
360;-0.105911;0.901138;-0.405823
361;-0.098068;0.954346;-0.402557
362;-0.119873;0.955902;-0.391083
363;-0.192398;0.962387;-0.369507
364;-0.193359;0.932419;-0.319885
365;-0.172012;0.881165;-0.331558
366;-0.111526;0.781815;-0.247498
367;-0.035431;0.904755;-0.307465
368;-0.008408;1.115112;-0.440308
369;-0.006989;1.014038;-0.442886
370;0.047546;0.979019;-0.459946
371;0.005386;0.988495;-0.429871
372;-0.135376;0.936264;-0.410889
373;-0.222305;0.962540;-0.333160
374;-0.186813;0.918411;-0.246826
375;-0.140060;0.878525;-0.261093
376;-0.107468;0.868423;-0.271927
377;-0.144150;0.905411;-0.304535
378;-0.152130;0.917831;-0.306213
379;-0.151657;0.937408;-0.305313
380;-0.173416;1.064758;-0.312546
381;-0.235809;1.035431;-0.303040
382;-0.181366;1.049759;-0.376175
383;-0.117096;0.977203;-0.355835
384;-0.158432;0.962082;-0.324661
385;-0.132980;0.998657;-0.344803
386;-0.014816;1.069992;-0.466522
387;-0.158325;0.985596;-0.433960
388;-0.074158;1.014709;-0.363541
389;-0.010941;1.034973;-0.449799
390;-0.042542;1.023697;-0.549469
391;-0.152283;0.954224;-0.499557
392;-0.149506;0.882919;-0.353409
393;0.061844;1.016342;-0.188553
394;0.159317;1.176712;-0.333420
395;0.173187;1.117172;-0.391449
